iter	Passed	Remaining
669	6989	3442
670	6999	3432
671	7010	3421
672	7020	3410
673	7029	3400
674	7039	3389
675	7049	3378
676	7059	3368
677	7069	3357
678	7079	3346
679	7089	3336
680	7099	3325
681	7109	3314
682	7119	3304
683	7129	3293
684	7139	3283
685	7149	3272
686	7159	3262
687	7170	3251
688	7180	3241
689	7191	3230
690	7200	3220
691	7211	3209
692	7221	3199
693	7231	3188
694	7241	3177
695	7252	3167
696	7262	3157
697	7272	3146
698	7282	3135
699	7291	3124
700	7301	3114
701	7311	3103
702	7321	3092
703	7330	3082
704	7341	3071
705	7350	3061
706	7361	3050
707	7370	3039
708	7380	3029
709	7390	3018
710	7400	3008
711	7410	2997
712	7420	2986
713	7430	2976
714	7440	2965
715	7450	2955
716	7460	2944
717	7470	2933
718	7480	2923
719	7490	2912
720	7500	2902
721	7510	2891
722	7521	2881
723	7531	2871
724	7542	2860
725	7551	2850
726	7561	2839
727	7571	2828
728	7581	2818
729	7591	2807
730	7601	2797
731	7611	2786
732	7622	2776
733	7632	2765
734	7642	2755
735	7652	2744
736	7662	2734
737	7671	2723
738	7681	2712
739	7691	2702
740	7701	2692
741	7711	2681
742	7721	2670
743	7731	2660
744	7742	2649
745	7752	2639
746	7761	2628
747	7772	2618
748	7781	2607
749	7792	2597
750	7802	2586
751	7811	2576
752	7821	2565
753	7831	2555
754	7841	2544
755	7851	2533
756	7860	2523
757	7870	2512
758	7879	2501
759	7890	2491
760	7900	2481
761	7910	2470
762	7920	2460
763	7931	2450
764	7941	2439
765	7951	2429
766	7961	2418
767	7971	2408
768	7981	2397
769	7991	2387
770	8000	2376
771	8010	2365
772	8020	2355
773	8031	2345
774	8041	2334
775	8051	2324
776	8060	2313
777	8070	2302
778	8080	2292
779	8089	2281
780	8099	2271
781	8109	2260
782	8120	2250
783	8130	2239
784	8141	2229
785	8151	2219
786	8160	2208
787	8171	2198
788	8181	2187
789	8191	2177
790	8200	2166
791	8210	2156
792	8221	2145
793	8232	2135
794	8242	2125
795	8251	2114
796	8261	2104
797	8270	2093
798	8280	2083
799	8289	2072
800	8299	2061
801	8309	2051
802	8319	2041
803	8329	2030
804	8340	2020
805	8350	2009
806	8360	1999
807	8370	1988
808	8380	1978
809	8389	1967
810	8398	1957
811	8409	1946
812	8419	1936
813	8429	1926
814	8438	1915
815	8448	1905
816	8457	1894
817	8467	1883
818	8477	1873
819	8487	1863
820	8493	1851
821	8503	1841
822	8513	1830
823	8523	1820
824	8532	1810
825	8543	1799
826	8552	1789
827	8562	1778
828	8572	1768
829	8582	1757
830	8593	1747
831	8602	1737
832	8612	1726
833	8622	1716
834	8632	1705
835	8642	1695
836	8653	1685
837	8663	1674
838	8674	1664
839	8683	1654
840	8692	1643
841	8702	1633
842	8712	1622
843	8723	1612
844	8733	1602
845	8743	1591
846	8754	1581
847	8764	1570
848	8774	1560
849	8783	1549
850	8792	1539
851	8802	1529
852	8813	1518
853	8823	1508
854	8833	1498
855	8843	1487
856	8853	1477
857	8862	1466
858	8872	1456
859	8883	1446
860	8893	1435
861	8904	1425
862	8914	1415
863	8923	1404
864	8934	1394
865	8944	1383
866	8954	1373
867	8964	1363
868	8975	1352
869	8984	1342
870	8994	1332
871	9003	1321
872	9013	1311
873	9023	1300
874	9033	1290
875	9043	1280
876	9053	1269
877	9063	1259
878	9073	1249
879	9083	1238
880	9093	1228
881	9103	1217
882	9112	1207
883	9122	1197
884	9132	1186
885	9142	1176
886	9152	1165
887	9161	1155
888	9171	1145
889	9180	1134
890	9190	1124
891	9199	1113
892	9209	1103
893	9218	1093
894	9227	1082
895	9238	1072
896	9247	1061
897	9257	1051
898	9266	1041
899	9276	1030
900	9286	1020
901	9296	1010
902	9306	999
903	9316	989
904	9326	979
905	9336	968
906	9347	958
907	9358	948
908	9368	937
909	9377	927
910	9387	917
911	9396	906
912	9406	896
913	9415	885
914	9425	875
915	9435	865
916	9445	854
917	9455	844
918	9465	834
919	9475	823
920	9485	813
921	9495	803
922	9506	793
923	9516	782
924	9526	772
925	9536	762
926	9547	751
927	9558	741
928	9568	731
929	9577	720
930	9595	711
931	9618	701
932	9632	691
933	9647	681
934	9658	671
935	9668	661
936	9677	650
937	9686	640
938	9696	629
939	9706	619
940	9716	609
941	9726	598
942	9737	588
943	9747	578
944	9759	568
945	9769	557
946	9779	547
947	9790	537
948	9801	526
949	9810	516
950	9820	506
951	9830	495
952	9839	485
953	9849	474
954	9861	464
955	9871	454
956	9881	443
957	9890	433
958	9899	423
959	9910	412
960	9919	402
961	9929	392
962	9939	381
963	9949	371
964	9959	361
965	9969	350
966	9978	340
967	9990	330
968	9999	319
969	10009	309
970	10018	299
971	10027	288
972	10036	278
973	10045	268
974	10056	257
975	10066	247
976	10076	237
977	10085	226
978	10095	216
979	10104	206
980	10116	195
981	10125	185
982	10135	175
983	10144	164
984	10153	154
985	10163	144
986	10172	133
987	10182	123
988	10192	113
989	10202	103
990	10211	92
991	10220	82
992	10229	72
993	10239	61
994	10250	51
995	10260	41
996	10270	30
997	10279	20
998	10288	10
999	10298	0
